boli,simptome
Larva migrans cutanata,"""manifestare, cutana"""
Legioneloza - Infecţia cu Legionella,"""febră, Pontiac, simptomatologie, alterare, stare, general, fatigabilitate, cefalee, artralgiu, greață, durere, abdominal, boală, febra, abdomonal, vărsătură, diaree, apos, afectare, modificare, al, status, mental, letargie, encefalopatie, hiperpirexie, pneumonie, hiponatremie, hipofosfatemie, hematurie, anomalie, hematologic, trombocitopenie, radiografie, pleural, opacitate, nodular, tulburare, psihic"""
Leiomiosarcom,"""durere, tract, gastrointestinal, Hemoragiu, digestiv, Dispnee, metastază, pulmonar, hepatic, sindrom, Obstrucție, venă, renal, tumoare, al, Edemă, bilateral, membru, inferior, Budd-Chiari"""
Leishmanioza,"""tegumentara, Leziune, cutanat, leziune, mucoasă, tract, Afectare, nazal, sept, Ulcerație, al, buză, ocular, febră, ficat, hepatomegalie, splină, sânge, pancitopenie, tegumentar, regiune, braț, picioare, gât, ovalar, nedureros, de, senzație, mâncărime, cutana, ulcerație, nas, fosă, inflamație, gingie, Fatigabilitate, eritematoasă, central, țesut, intens, Nodulă, ulcerant, ulcer, erupție, placă, leishmanioză, țese, Organomegalie, vizibil, aparat, Anemie, normocrom"""
Lentigo,"""braț, leziune, reticula, de, cerneală, atrofie, dermic, fibroză, subcutanat, keratoză, teleangiectazie, picior, gât, piept, orale/labial, buză, inferior, mucoasă, oral, palat, limbă, genital, maro-negru, genitalie, dermatom, piele, modificare, pigmentare, progresiv, neoplasmă, cutanat, carcinom, melanom, defect, oculare/neurologic, sindrom, multiplu, conducere, stenoză, pulmonar, hipertelorism, ocular, anormal, creștere, surditate, Peutz-Jeghers, polipă, gastrointestinal, mac, perioral, degeta, Laugier-Hunziker, deget, scler, mucocutanat, nev, albastru, afectiune, endocrin, tumoare, testicular, Lentiginoză, gleznă"""
Lepra (boala Hansen),"""leziune, macular, tulburare, senzitiv, anestezie, absență, sensibilitate, parestezie, hipopigmenta, hipoanestezic, lepra, tuberculoidă, margine, lepru, glandă, tegumentare, nerv, auricular, palpabil, durere, nevritic, mână, pleoapă, Ulcerație, cornean, cutanat, plăci, papul, lepră, lepromatos, infiltra, afectare, specific, față, obrajă, sprâncan, sprâncenă, Tegument, facial, pendular, obstrucție, nazal, sângerare, Obstrucție, cale, aerian, perforație, septal, colaps, inflamație, iris, ciliar, cornee, Adenopatie, nedureros, ganglioan, limfatic, regiune, inghinal, infiltrare, cicatrizare, Ginecomastie, membră, Noduli, eritem, nodos, lepros, febră, de, reversie, articular"""
Leptospiroza,"""durere, muscular, mialgiu, membră, inferior, lombară, de, cap, Greț, vărsătură, emeză, vomă, disfagie, leziune, eruptiv, cutanat, macular, maculopapular, confuzie, mental, meningită, hemoptizie, sânge, afectare, pulmonar, sensibilitate, adenopatie, congestie, faringiană, gât, roșu, ficat, splină, Icter, Sindrom, disfuncție, renal, oligurie, anurie, Diateză, epistaxis, purpură, echimoză, tulburare, vascular, regiune, hipocondr, drept, insuficiență, respiratoriu, acut"""
Leucemia,"""febră, infecție, diaforeza, transpirat, abundent, oboseală, persistent, greață, echimoză, cefalee, durere, de, cap, confuzie, tulburare, al, vedere, hipertrofie, ficat, splină, vărsătură, abdominal, osos, slăbiciune, pierdere, control, muscular, leziune, peteșie, globulă, alb, plachetă"""
Leucemia acuta limfoida - LLA,"""oboseala, slăbiciune, general, durere, de, cap, apetit, echimoză, dificultate, infecție, neutropenie, trombocitopenie, plachetă, leziune, piele, inflamație, nedureros, limfatic, zonă, inghinală, osoate, articular, splină, vertij, vărsătură, tulburare, vedere, compresie, trahee, timus, inflamat, afectare, febra, angine, recurent, splenomegalie, inflamare, somnolență, paralizie"""
Leucemia acută limfoblastică la copil,"""Paloare, Astenie, Anorexie, Trombocitopenie, febră, infecție, angină, eritematos, neutropenie, Adenopatie, multiplu, invazie, Diplopie, vărsătură, durere, osoate, articulare, pelerină, timus, Tumefiere, bilateral, dureros, testiculă, infiltrare, testicular, rinichi, afectare, vezică, urinar, pancreas"""
Leucemia acuta mieloida - LMA,"""febra, durere, osoate, letargi, oboseala, dificultate, respiratoriu, anemie, infecție, trombocitopenie, echimoză, hemoragiu, nazal, sângerare, al, gingie, leziune, piele, menstruație, ficat, de, cap, slăbiciune, vărsătură, tulburare, vedere"""
Leucemia acută mieloblasică la copil,"""Simptomatologie, Anemie, paloare, fatigabilitate, astenie, febră, tahicardie, neutropenie, risc, infecție, Trombocitopenie, peteșie, echimoz, gingivoragiu, epistaxis, sângerare, gastrointestinal, sistem, nervos, central, boală, sindrom, de, leucostază, ischemie, infarct, hemoragiu, manifestare, pulmonar, infiltrare, leucemic, insuficiență, respiratoriu, neurologic, somnolență, confuzie, obnubilare, comă, liză, tumoral, hiperuricemie, hiperkaliemie, hiperfosfatemie, Infiltrare, extramedular, sarcom, granulocitar, ganglioan, ficat, splină, Hiperplazie, gingival"""
Leucemia cu limfocite granulare mari,"""infecție, recurent, bacterian, piele, cavitație, pneumonie, sever, pozitiv, Aplazie, pur, Trombocitopenie, anticorp, antiplachetar, Purpură, amegacariocitar, pierdere, ponderal, febră, transpirat, profuză, nocturn"""
Leucemia limfoida cronica - LLC,"""febra, inapetența, letargie, oboseală, diaforeză, transpirat, abundent, dificultate, respiratoriu, anemie, paloare, infecție, hemoragiu, trombocitopenie, echimoză, nazal, sângerare, al, gingie, leziune, piele, durere, osos, ficat, inflamație, nedureros, limfatic, axilară, inghinală, gât, stomac, amigdău, mărita"""
Leucemia mieloida cronica - LMC,"""febra, Inapetență, poftă, de, mâncare, oboseală, durere, Diaforeză, nocturn, Splenomegalie, dificultate, Paloare, infecție, Sângerare, leziune, piele, articulare, osos, cap, sânge, celulă, imatur, blast"""
