Disease,Recommendations
Abces mamar,"Eliminarea frecventă a secreției lactate din sânul afectat. Utilizarea unei pompe pentru a elimina complet secreția din sânul afectat. Evitarea alăptării efective a bebelușului din sânul afectat atunci când există un abces. Aplicarea compreselor calde înainte și după alăptare. Aplicarea cuburilor de gheață imediat după alăptare (dacă compresele calde nu sunt eficiente). Alimentație echilibrată. Dietă hidrică adecvată (hidratare). Evitarea purtării sutienelor și a hainelor prea strâmte. Igiena corporală importantă (spălarea sânilor după alăptare). Aspirația abcesului (cu ac/seringă după anestezie locală). Drenajul chirurgical (mică incizie sau operație mai amplă sub anestezie generală). Mamogramă sau biopsie (pentru pacientele care nu alăptează sau nu răspund la tratament, pentru excluderea cancerului). Alăptarea din ambii sâni (preventiv). Golirea sânilor complet pentru a preveni creșterea în volum și blocarea ductelor (preventiv). Aplicarea tehnicilor de alăptare corecte (preventiv). Prevenirea unui mediu umed în zona sânilor (preventiv)."
Abces tubo-ovarian,"Abord initial conservator antimicrobian (pentru abces nerupt). Interventie chirurgicala (dacă tratamentul medicamentos eșuează sau în caz de ruptură). Anexectomie unilaterala (pentru păstrarea fertilității). Drenajul abcesului prin laparotomie. Drenaj percutan. Incizie colpotomie pentru drenaj. Aspiratia percutana sau drenajul abcesului sub ghidaj ecografic sau CT (transvaginal sau transabdominal). Operație pentru înlăturarea puroiului, abcesului, tubelor și ovarelor (în caz de ruptură). Salpingo-ooforectomie unilaterala (în caz de ruptură, la paciente tinere). Histerectomie (totală sau supracervicală, în caz de ruptură sau risc de recurență). Irigarea masiva cu solutie calda salina (intraoperator). Inchiderea fasciei prin suturi lent absorbabile sau permanente."
Abcese hepatice,"Antibioterapie (poate fi suficientă pentru abcese mai mici de 3 cm). Drenaj percutan ghidat imagistic (CT sau ecografie) - metoda preferată. Aspirare diagnostică pe ac (pentru culturi și antibiogramă). Plasarea unui cateter de drenaj percutan. Instilarea de soluție salină izotonă prin cateterul de drenaj. Monitorizarea drenajului și îndepărtarea cateterului la colabarea cavității. Drenaj chirurgical (laparoscopic sau deschis) în caz de eșec al drenajului percutan, abcese multiple/complexe, localizare dificilă, boală biliară/intraabdominală asociată. Tratament specific pentru cauza subiacentă (ex: tratamentul bolii biliare). Administrarea de agenți luminali amoebicizi după tratamentul pentru abcesul amoebic (pentru eradicarea purtătorilor intestinali). Monitorizarea atentă a evoluției clinice și imagistice. Managementul complicațiilor (ex: sepsis, ruptură). Corectarea coagulopatiei (ex: transfuzii de plasmă) înainte de proceduri invazive."
Abcesele intraperitoneale,"Localizarea focarului inflamator. Drenajul colectiei purulente. Diagnostic imagistic (Tomografie computerizată, Ecografie). Laparotomie exploratorie (pentru diagnostic în unele cazuri)."
Abcesele periosoase oro-maxilo-faciale,"Incizie chirurgicală (adaptată locației abcesului: vestibulară, palatinală, cutanată, intraorală linguală). Drenajul colecției purulente. Aplicarea de lame de dren sau tuburi de dren. Menținerea drenajului timp de 1-3 zile. Spălături locale cu soluții antiseptice (prin tuburile de dren). Tratamentul conservator endodontic al dintelui cauzal (dacă este indicat și posibil). Extracția dintelui cauzal (dacă tratamentul conservator nu este posibil sau indicat). Anestezie locală (prin infiltrație sau tronculară periferică, ex. la spina Spix) pentru intervenția chirurgicală. Utilizarea meșei iodoformate pentru drenaj (în abcesul palatinal cu incizie în „felie de portocală”)."
Abcesele primare ale lojilor superficiale mandibulare,"Incizie și drenaj chirurgical (pe cale cutanată sau orală). Evacuarea puroiului. Plasarea de drenuri (tuburi de cauciuc, lame de cauciuc). Spălături locale cu soluții antiseptice post-operator. Hemostază (ex: cu meșe iodoformate)."
Abcesul apendicular,drenaj percutanat al abcesului sub control ecografic. drenaj chirurgical (pentru abcese neaccesibile percutanat). tratament conservator (antibiotice și eventual drenaj) pentru abcesul bine definit. apendicectomie la distanță (după 6-10 săptămâni de la episodul acut). apendicectomie imediată (în caz de risc de evoluție nefavorabilă sub tratament medicamentos). tratament antibiotic postoperator (7-12 zile sau până la rezoluția simptomelor). echilibrare inițială a pacientului. urmărire ecografică (pentru flegmon).
Abcesul cardiac,"Tratament chirurgical (standardul de tratament pentru abcesul cardiac). Îndepărtarea chirurgicală a abcesului și a țesuturilor distruse. Reconstrucție chirurgicală cu pericard. Implantarea unei proteze valvulare (dacă este necesar). Profilaxie: Păstrarea unei igiene orale adecvate. Profilaxie: Folosirea aței dentare. Profilaxie: Control stomatologic periodic. Profilaxie: Tratament antibiotic înainte de intervenții (stomatologice, amigdalectomie, chirurgicale pe tract respirator/digestiv/urinar) la persoanele cu afecțiuni cardiace predispozante. Diagnostic precoce prin Ecocardiografie transesofagiană la pacienții cu endocardită."
Abcesul cerebral,"Intervenție chirurgicală (exereză deschisă sau aspirație stereotaxică). Tratament antibiotic intravenos (parenteral) pe termen lung (4-6 săptămâni). Continuarea tratamentului antibiotic pe cale orală (2-5 luni, dacă este necesar). Hiperventilație (ca tratament adjuvant pentru hipertensiunea intracraniană severă). Tratarea focarului infecțios primar (dacă este identificat)."
Abcesul cronic,Tratament chirurgical. Deschiderea chirugicală a colecției purulente (incizie chirurgicală locală). Evacuarea conținutului purulent. Excizia traiectelor fistuloase. Toaletarea plăgii. Aplicarea pansamentelor cu soluții antiseptice. Extragerea chirurgicală a corpilor străini (dacă este cazul).
Abces dentar,"drenarea abcesului (prin interventie medico-chirurgicala). tratarea dintelui cauzator. extirpare (scoaterea nervului), daca nervul este prezent. curatarea si obturarea canalului radicular. rezectie apicala (interventie chirurgicala pentru indepartarea infectiei de la varful radacinii). extractie dentara (in cele mai nefavorabile situatii). curatarea zonei afectate. Mentineti o igiena orala corecta (periaj dentar de minim doua ori pe zi, utilizarea atei dentare cel putin o data pe zi). controale periodice la stomatolog. Scadeti consumul de alimente cu continut mare de zahar. Tratarea cariilor din timp. Evitati consumul de alcool si tutun."
Abcesul epidural,"Administrarea de antibiotice per os sau injectabil (pentru abcese mici). Antibioticoterapie conform rezultatelor hemoculturilor. Administrare antibiotic pre și postoperator pentru cel puțin 4 saptamani. Interventie chirurgicala (pentru abcese de dimensiuni mari, cu fenomene compresive). Laminectomie decompresiva. Debridare chirurgicala. Evacuarea chirurgicala a continutului abcesului. IRM (imagistica prin rezonanta magnetica) pentru localizare și diagnostic diferențial. Punctie lombara (pentru suspiciune de meningită, cu precauții)."
Abcesul hepatic,Drenajul chirurgical. Ecografie (diagnostic). Computer tomografie (diagnostic). Radiografie toracică (diagnostic).
Abcesul pancreatic si peripancreatic,"Drenaj percutan al abcesului. Intervenție chirurgicală (necrosectomie, debridare, drenaj pancreatic). Drenaj endoscopic papilar (dacă abcesul comunică cu ductul pancreatic). Decontaminare intestinală selectivă (ca potențială metodă preventivă). Aspirație percutană (pentru pseudochisturi). Tratament conservator (pentru pseudochisturi mici, inițial)."
Abcesul periamigdalian,Incizie şi drenaj chirurgical (sub anestezie). Tonsilectomie (excizia chirurgicală a amigdalelor) la 4-12 săptămâni după vindecare. Antibioticoterapie timp de 10 zile. Tratamentul corespunzător al anginelor (prevenție). Tratamentul corespunzător al infecţiilor dentare (prevenție). Tratamentul corespunzător al celulitei periamigdaliene (prevenție). Amigdalectomie în cazul unor abcese recurente (prevenție). Puncție aspiratorie (diagnostic și potențial terapeutic). Traheotomie (în caz de dispnee severă din forma bilaterală).
Abcesul perianal,"Incizie și drenaj chirurgical al abcesului. Îngrijire postoperatorie (posibilă lăsare a unei sonde pentru drenaj continuu). Băi de șezut cu apă caldă (de 2-3 ori pe zi, 10-15 minute). Igienă perianală riguroasă (curățare cu apă caldă și săpun blând, uscare delicată). Tratamentul chirurgical al fistulelor asociate (ex: fistulotomie, aplicare de seton). Monitorizare medicală și controale periodice (follow-up). Intervenții chirurgicale avansate (în cazuri extinse, recurente sau complexe). Evitarea constipației (dietă bogată în fibre, hidratare adecvată, laxative la indicația medicului). Limitarea efortului fizic intens și a șederii îndelungate post-tratament. Managementul adecvat al afecțiunilor de bază (ex: Boala Crohn, diabet zaharat). Terapie cu celule stem (abordare experimentală pentru fistule). Termoablație în tratamentul fistulelor (abordare minim invazivă). Drenaj ghidat ecografic (pentru precizie). Abordare terapeutică personalizată și multidisciplinară (chirurgi, gastroenterologi, radiologi)."
Abcesul perinefretic si renal,Drenajul colecției purulente. Ecografie renală (pentru diagnostic). Computer tomografie abdominală (pentru diagnostic).
Abcesul pulmonar,"Antibioterapie (tratament de bază). Drenaj postural (cu pregătire: stomac gol, bronhodilatare, umidificare). Bronhoscopie (pentru diagnostic diferențial - excludere neoplazie/corp străin, colectare probe, facilitare drenaj în cazuri selectate). Drenaj percutanat sub ghidaj CT (alternativă la chirurgie). Intervenție chirurgicală (rezervată pentru eșec medical, suspiciune neoplasm, hemoragie, abcese mari >6cm, infecții rezistente): lobectomie, rezecție segmentară, pneumonectomie. Drenarea empiemului (dacă este prezent). Tratament prelungit (3-6 săptămâni sau mai mult, până la rezoluție imagistică). Monitorizarea răspunsului clinic (febră) și imagistic (radiografie/CT). Evaluare suplimentară (bronhoscopie, CT) în caz de eșec terapeutic sau prezentări atipice. Prevenirea aspirației (intubație orotraheală precoce la pacienții cu risc, poziționare înclinată la 30 grade sau decubit lateral în caz de vărsături). Îmbunătățirea igienei orale și dentare (prevenție). Traheostomie și aspirație (pentru pacienți foarte slăbiți, paralizați sau cu insuficiență respiratorie)."
Abcesul renal,"Drenaj percutan (sub ghidaj CT sau ultrasonografic). Plasarea unui tub de dren percutan. Drenaj chirurgical deschis. Debridarea chirurgicală a colecției purulente. Enucleerea carbunculului (pentru abces cortical). Nefrectomie (totală, parțială, laparoscopică). Irigarea spațiului perirenal cu antibiotic (în timpul chirurgiei). Plasarea tuburilor de dren postoperator. Continuarea terapiei cu antibiotice postoperator (2-4 săptămâni sau mai mult). Control postoperator și imagistică de control (CT). Evitarea efortului fizic postoperator (4-6 săptămâni)."
Abcesul splenic,"Internare în spital. Drenaj percutan ghidat imagistic (ecografie sau CT). Aspirație percutană ghidată imagistic. Splenectomie (chirurgie clasică/deschisă). Splenectomie laparoscopică. Drenaj chirurgical deschis (transpleural, abdominal extraperitoneal, retroperitoneal). Pregătire pentru transfuzii de sânge (tipare grupă și Rh). Utilizare tub nazogastric pentru decompresia stomacului (preoperator). Pregătire preoperatorie a colonului prin clismă. Vaccinuri polivalente (după splenectomie)."
Abcesul subfrenic,Drenarea abcesului. Tratament personalizat pentru pacienții subnutriți sau cu sistem imunitar slăbit. Drenaj percutanat ghidat prin imagistică. Drenarea abcesului pe cale chirurgicală (ca alternativă sau pentru a evita lezarea organelor interne).
Abdomenul acut,"Tratament suportiv: rehidratare hidro-electrolitică. Monitorizarea debitului urinar. Transfuzie sanguină (dacă este necesar). Montarea unei sonde nazo-gastrice (pentru decompresia stomacului și prevenirea aspirației). Intervenție chirurgicală specifică afecțiunii cauzale (apendicectomie, sutura perforației de ulcer, colecistectomie laparoscopică, coledocotomie, rezecție intestinală, reparare anevrism etc.). Laparotomie exploratorie (în caz de diagnostic incert sau peritonită). Intervenție chirurgicală precoce/de urgență (în peritonită difuză, ischemie/gangrenă intestinală, obstrucție intestinală severă, ruptură de anevrism). Colangiopancreatografie endoscopică retrogradă (ERCP) (pentru extracția calculilor din calea biliară principală). Coledoco-duodeno anastomoză (după coledocotomie, la pacienți peste 60 ani). Montarea unui tub Kehr (după coledocotomie, la pacienți sub 60 ani). Repaus intestinal. Colonoscopie sau sigmoidoscopie (diagnostic sau decompresie în obstrucția joasă). Angiografie (diagnostic și posibil tratament - embolizare - în ischemie mezenterică sau hemoragie). Supraveghere clinică și investigații suplimentare dacă diagnosticul este neclar."
Abdomenul cronic dureros la copil,"Tratamentul urmăreşte identificarea şi ȋnlăturarea patologiei determinante, nu doar tratamentul simptomatic al durerii."
Abetalipoproteinemia (sindromul Bassen-Kornzweig),"Restricții alimentare: dietă săracă în lipide (pentru reducerea steatoreei). Suplimentarea dietei cu vitamine liposolubile (A, E, K). Fizioterapie (pentru simptomele musculare sau scheletale). Monitorizare oftalmologică. Monitorizare neurologică. Monitorizare cardiologică. Testare genetică pentru diagnostic."
Abrazia dentară,Confecționarea de gutiere ocluzale. Pulpectomia dinților afectați (scoaterea de nerv). Consult la specialist de neurologie (pentru bruxism psihogen). Purtarea unei șine speciale pentru stabilizarea articulației temporo-mandibulare (în caz de bruxism). Protezarea dinților-lipsă (fixă sau mobilă). Tratament complex pentru corectarea rapoartelor interdentare și faciale (în cazuri grave). Prezentarea la medic stomatolog în stadii incipiente.
Abruptio placentae,"Evacuarea uterină în cel mai scurt timp. Ruperea artificială a membranelor. Reanimarea (prealabilă, concomitentă și consecutivă nașterii). Corectarea tulburărilor de coagulare."
Acalazia cardiei,Dilatatia esofagiana cu balon a sfincterului esofagian inferior (SEI). Miotomia SEI (chirurgie clasică abdominală sau laparoscopică - esofagotomie). Injectarea endoscopica de toxina botulinica in SEI (în special pentru pacienții în vârstă sau cu comorbidități). Fundoplicare (procedură adăugată frecvent miotomiei pentru a preveni refluxul).
Acanthosis nigricans,"Tratamentul bolii de bază asociate (cauza principală). Corectarea hiperinsulinemiei. Scăderea în greutate (în cazul persoanelor obeze). Sistarea medicamentelor care pot cauza acanthosis nigricans. Utilizarea de keratolitice topice. Utilizarea de creme hidratante. Utilizarea de creme de protecție solară. Tratamentul chirurgical al tumorii maligne primare (în acanthosis nigricans malignă). Screening pentru depistarea unui eventual cancer la debutul simptomelor. Screening pentru diabet (hemoglobină glicozilată, test de toleranță la glucoză). Screening pentru rezistența la insulină (nivel plasmatic de insulină). Biopsie de piele (pentru confirmare diagnostic în cazuri neclare)."
Acatisia,Scaderea dozei agentului cauzativ.
